gnome-calendar 3.20.2-1
gnome-characters 3.20.1-1
gnome-chess 3.20.1-1
gnome-clocks 3.20.1-1
gnome-code-assistance 3.16.0-4
gnome-color-manager 3.20.0-1
gnome-contacts 3.20.0-1
gnome-control-center 3.20.1-1
gnome-desktop 1:3.20.2-1
gnome-devel-docs 3.20.2-1
gnome-dictionary 3.20.0-1
gnome-disk-utility 3.20.2-1
gnome-documents 3.20.0-1
gnome-font-viewer 3.20.2-1
gnome-getting-started-docs 3.20.0-1
gnome-keyring 1:3.20.0-1
gnome-klotski 3.20.2-1
gnome-logs 3.20.1-1
gnome-mahjongg 3.20.0-1
gnome-maps 3.20.1-1
gnome-menus 3.13.3-2
gnome-mime-data 2.18.0-7
gnome-mines 3.20.0-1
gnome-music 3.20.2-1
gnome-nettool 3.8.1-2
gnome-nibbles 3.20.2.1-1
gnome-online-accounts 3.20.1-1
gnome-online-miners 3.20.0-1
gnome-photos 3.20.1-1
gnome-robots 3.20.2-1
gnome-screenshot 3.18.0-1
gnome-session 3.20.1-1
gnome-settings-daemon 3.20.1-1
gnome-shell 3.20.2-1
gnome-shell-extension-dash-to-dock 53-1
gnome-shell-extension-gnomenu 19-1
gnome-shell-extension-mediaplayer r553.2cb5d6d-1
gnome-shell-extension-openweather 1.0.r57.gb6b3bff-1
gnome-shell-extensions 3.20.1-1
gnome-sound-recorder 3.20.2-1
gnome-sudoku 3.20.1-1
gnome-system-log 3.9.90-1
gnome-system-monitor 3.20.1-1
gnome-taquin 3.20.2-1
gnome-terminal 3.20.2-1
gnome-tetravex 3.20.0-1
gnome-themes-standard 3.20.2-1
gnome-tweak-tool 3.20.1-1
gnome-user-docs 3.20.2-1
gnome-user-share 3.18.1-2
gnome-vfs 2.24.4-9
gnome-vfsmm 2.26.0-4
gnome-video-effects 0.4.1-1
gnome-wallpapers 20160321-1
gnome-weather 3.20.1-1
gnupg 2.1.12-2
gnutls 3.4.11-2
gnutls28 3.3.19-1
gobject-introspection 1.48.0-1
gobject-introspection-runtime 1.48.0-1
gom 0.3.2-1
goocanvas 2.0.2-1
gparted 0.26.0-1
gperftools 2.5-1
gpgme 1.6.0-2
gpm 1.20.7-6
graphene 1.4.0-1
graphite 1:1.3.8-1
graphviz 2.38.0-11
grep 2.25-2
grilo 0.3.0-1
grilo-plugins 0.3.1-1
groff 1.22.3-6
grub 2.02.beta2-15
gsasl 1.8.0-6
gsettings-desktop-schemas 3.20.0-1
gsfonts 20150811-1
gsm 1.0.14-1
gsound 1.0.2-1
gspell 1.0.1-1
gssdp 0.14.15-1
gssproxy 0.5.0-3
gst-libav 1.8.1-1
gst-plugins-bad 1.8.1-1
gst-plugins-base 1.8.1-1
gst-plugins-base-libs 1.8.1-1
gst-plugins-good 1.8.1-1
gst-plugins-ugly 1.8.1-1
gst-python 1.8.1-1
gstreamer 1.8.1-1
gstreamer0.10 0.10.36-4
gstreamer0.10-bad 0.10.23-15
gstreamer0.10-bad-plugins 0.10.23-15
gstreamer0.10-base 0.10.36-3
gstreamer0.10-base-plugins 0.10.36-3
gstreamer0.10-good 0.10.31-10
gstreamer0.10-good-plugins 0.10.31-10
gstreamer0.10-ugly 0.10.19-16
gstreamer0.10-ugly-plugins 0.10.19-16
gtk-engine-murrine 0.98.2-2
gtk-sharp-2 2.12.29-1
gtk-update-icon-cache 3.20.6-1
gtk-vnc 0.5.4-1
gtk-xfce-engine 2.10.1-1
gtk2 2.24.30-2
gtk3 3.20.5-2
gtkmm 2.24.4-2
gtkmm3 3.20.1-1
gtksourceview3 3.20.3-1
gtkspell3 3.0.8-1
gts 0.7.6-3
gucharmap 8.0.0-1
gufw 15.10.0-2
guile 2.0.11-3
gupnp 0.20.17-1
gupnp-av 0.12.8-1
gupnp-dlna 0.10.4-1
gvfs 1.28.2-1
gvfs-afc 1.28.2-1
gvfs-gphoto2 1.28.2-1
gvfs-mtp 1.28.2-1
gvfs-smb 1.28.2-1
gzip 1.8-2
harfbuzz 1.2.7-1
harfbuzz-icu 1.2.7-1
haskell-aeson 0.11.2.0-1
haskell-aeson-pretty 0.7.2-17
haskell-asn1-encoding 0.9.3-6
haskell-asn1-parse 0.9.4-6
haskell-asn1-types 0.3.2-4
haskell-async 2.1.0-1
haskell-attoparsec 0.13.0.2-1
haskell-base-unicode-symbols 0.2.2.4-1
haskell-base64-bytestring 1.0.0.1-5
haskell-blaze-builder 0.4.0.2-1
haskell-blaze-html 0.8.1.1-6
haskell-blaze-markup 0.7.0.3-5
haskell-byteable 0.1.1-2
haskell-case-insensitive 1.2.0.6-3
haskell-cereal 0.5.1.0-2
haskell-cmark 0.5.2-1
haskell-cmdargs 0.10.14-1
haskell-conduit 1.2.6.6-1
haskell-conduit-extra 1.1.13.1-5
haskell-connection 0.2.5-22
haskell-cookie 0.4.2-1
haskell-cryptonite 0.15-1
haskell-data-accessor 0.2.2.7-1
haskell-data-accessor-template 0.2.1.12-1
haskell-data-accessor-transformers 0.2.1.7-1
haskell-data-default 0.6.0-1
haskell-data-default-class 0.0.1-10
haskell-data-default-instances-base 0.1.0-1
haskell-data-default-instances-containers 0.0.1-10
haskell-data-default-instances-dlist 0.0.1-11
haskell-data-default-instances-old-locale 0.0.1-10
haskell-digest 0.0.1.2-2
haskell-dlist 0.7.1.2-2
haskell-enclosed-exceptions 1.0.1.1-7
haskell-exceptions 0.8.2.1-2
haskell-extensible-exceptions 0.1.1.4-13
haskell-fail 4.9.0.0-1
haskell-filemanip 0.3.6.3-4
haskell-haddock-library 1.2.1-2
haskell-hashable 1.2.4.0-3
haskell-highlighting-kate 0.6.2-3
haskell-hourglass 0.2.10-1
haskell-hs-bibutils 5.5-2
haskell-hslua 0.4.1-2
haskell-http 4000.3.3-4
haskell-http-client 0.4.28-4
haskell-http-client-tls 0.2.4-7
haskell-http-types 0.9-8
haskell-juicypixels 3.2.7-1
haskell-lifted-base 0.2.3.6-6
haskell-memory 0.12-1
haskell-mime-types 0.1.0.7-1
haskell-mmorph 1.0.6-1
haskell-monad-control 1.0.1.0-1
haskell-mtl 2.2.1-5
haskell-network 2.6.2.1-5
haskell-network-uri 2.6.1.0-2
haskell-old-locale 1.0.0.7-7
haskell-old-time 1.1.0.3-7
haskell-pandoc 1.17.0.3-15
haskell-pandoc-citeproc 0.9.1.1-23
haskell-pandoc-crossref 0.2.1.3-2
